url,title,cook,description,directions,images,ingredients,prep,servings,total,timestamp
https://www.allrecipes.com/recipe/216528/stout-and-ale/,Stout and Ale,5 mins,This black and tan recipe is called a &#34;half and half&#34; in Ireland. A pint glass is filled halfway with lager on the bottom with a float of Guinness on top.,"Step1: Divide lager beer evenly between 2 tall beer glasses. Step2: Working with one glass at a time, place a large tablespoon, dome-side up, 1 inch or so above lager beer, with the tip of the spoon pointed slightly downward. Step3: Slowly pour 1/2 of the stout beer over the tablespoon so it gently pours down the side of the glass in a thick trickle. Allow to stand until 2 distinct layers of beer form, 3 to 5 seconds. Repeat with the remaining glass of beer.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4486249.jpg,"1 (12 fluid ounce) bottle lager beer (such as Harp®), 1 (12 fluid ounce) can or bottle Irish stout beer (such as Guinness®)",5 mins,2,5 mins,2023-07-08T09:19:28Z
https://www.allrecipes.com/recipe/222511/tom-collins-cocktail/,Tom Collins Cocktail,5 mins,"This Tom Collins recipe makes a classic gin cocktail that&#39;s tart thanks to lemon, sweet thanks to simple syrup, and fizzy thanks to club soda.","Step1: Fill a Collins glass with 1 1/2 cups ice; set aside in the freezer. Step2: Combine gin, lemon juice, and simple syrup in a cocktail shaker. Add 1 cup ice, cover, and shake until chilled. Step3: Strain into the chilled Collins glass. Top with club soda and garnish with lemon wedge.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8804113.jpg,"2.5 cups ice, divided, 2 fluid ounces gin, 0.75 fluid ounce lemon juice, 0.5 fluid ounce simple syrup, 2 fluid ounces club soda, 1 lemon wedge",5 mins,1,5 mins,2023-07-08T09:19:42Z
https://www.allrecipes.com/recipe/137430/budget-jungle-juice-for-a-crowd/,Budget Jungle Juice for a Crowd,10 mins,"This jungle juice recipe with vodka, rum, pink lemonade, and fruit juice makes a great alcoholic punch that will serve many on a limited budget.","Step1: Pour orange drink, pink lemonade, pineapple-orange juice blend, vodka, rum, and fruit punch into a large punch bowl or container; stir well.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F616475.jpg,"2 gallons orange-flavored drink, 4 quarts pink lemonade, 4 quarts pineapple and orange juice blend, 4 (750 milliliter) bottles vodka, 2 (750 milliliter) bottles white rum, 2 (46 fluid ounce) cans fruit punch",10 mins,96,10 mins,2023-07-08T09:20:04Z
https://www.allrecipes.com/recipe/222550/blue-hawaiian-cocktail/,Blue Hawaiian Cocktail,5 mins,"The Blue Hawaiian is a classic tiki cocktail made with rum, cream of coconut, pineapple juice, and Curacao liqueur to create its signature blue color.","Step1: Combine crushed ice, pineapple juice, rum, blue Curacao, and cream of coconut in a blender. Step2: Blend on high speed until smooth. Step3: Pour into a chilled highball glass. Garnish with a slice of pineapple and a maraschino cherry.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9382670.jpg,"1 cup crushed ice, 2 fluid ounces pineapple juice, 1 fluid ounce light rum, 1 fluid ounce blue Curacao liqueur, 1 fluid ounce cream of coconut, 1 pineapple slice, 1 maraschino cherry",5 mins,1,5 mins,2023-07-08T09:20:20Z
https://www.allrecipes.com/recipe/72612/sangria-sangria/,Sangria! Sangria!,15 mins,"This sangria recipe is easy to make with Spanish red wine, orange juice, brandy, and freshly chopped fruit for a super refreshing summer party drink.","Step1: Gather all ingredients. Step2: Mix together red wine, brandy, triple sec, lemonade concentrate, orange juice, lemon juice, and sugar in a bowl. Add orange, lemon, and lime slices and maraschino cherries. Step3: Serve immediately over ice, or refrigerate 8 hours to overnight for best flavor. For a fizzy sangria, add club soda just before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9284766.jpg,"1 (750 milliliter) bottle dry red wine, 0.5 cup brandy, 0.5 cup triple sec, 0.33333334326744 cup frozen lemonade concentrate, 0.33333334326744 cup orange juice, 0.25 cup lemon juice, 0.25 cup white sugar, 1 medium orange, sliced into rounds, 1 medium lemon, sliced into rounds, 1 medium lime, sliced into rounds, 8 maraschino cherries, 2 cups carbonated water",15 mins,6,15 mins,2023-07-08T09:20:43Z
https://www.allrecipes.com/recipe/17309/bahama-mama/,Bahama Mama,5 mins,"Whip up this Bahama Mama cocktail made with two types of rum, orange and pineapple juice, and crushed ice for a refreshingly tropical adult drink.","Step1: Combine crushed ice, orange juice, pineapple juice, regular rum, coconut-flavored rum, and grenadine in a blender. Blend until the drink&#39;s consistency is slushy.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9306024.jpg,"1 cup crushed ice, 1 fluid ounce orange juice, 1 fluid ounce pineapple juice, 0.5 fluid ounce rum, 0.5 fluid ounce coconut-flavored rum, 0.5 fluid ounce grenadine syrup",5 mins,1,5 mins,2023-07-08T09:20:52Z
https://www.allrecipes.com/chocolate-cream-cold-brew-recipe-7505242,Chocolate Cream Cold Brew,5 mins,"This cold brew coffee with chocolate cream foam is ready in under 5 minutes, and tastes just like the one the pros make.","Step1: Add heavy whipping cream, milk, chocolate syrup, cocoa powder and vanilla into a tall glass. Whip with a milk frother until until desired consistency is reached. Step2: Serve over cold brew coffee.",https://www.allrecipes.com/thmb/ozjMb9yOppioWnUth1iGEpZs5_0=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/Yoly-2000-f2b74b9193484f96bfcaffec0e864fe1.jpg,"2 tablespoons heavy whipping cream, 1 tablespoon milk, 1 1/2 teaspoons chocolate syrup (such as Torani® Sugar Free Syrup), 1 1/2 teaspoons cocoa powder, 1/2 tsp vanilla, cold brew coffee",5 mins,1,5 mins,2023-07-08T09:21:05Z
https://www.allrecipes.com/sparkling-cantaloupe-agua-fresca-recipe-7255571,Sparkling Cantaloupe Agua Fresca,15 mins,This refreshing agua fresca with cantaloupe and lime juice is perfect on a hot day.,"Step1: Working in batches if needed, blend cantaloupe, water, lime juice, honey, and salt in a blender until smooth. Press through a sieve; discard solids. Add strained juice to a pitcher. Step2: Chill until ready to serve. Add club soda just before serving. Serve over ice, and garnish glasses with melon balls and lime zest twists.",https://www.allrecipes.com/thmb/lyem3pyHSW4Y60RX2GAMBF3cSsY=/75x75/filters:no_upscale():max_bytes(150000):strip_icc():format(webp)/julana-hale-7f6f4a8602bd4eab958ab570d5b4df51.jpg,"2 pounds fresh cantaloupe cubes (6 cups), 2 cups water , 2 limes, juiced (6 tablespoons), 3 tablespoons Honey , 1/4 teaspoon salt, 2 cups club soda, chilled, Cantaloupe melon balls or cubes, for garnish , Lime zest twists, for garnish",15 mins,8,15 mins,2023-07-08T09:21:14Z
https://www.allrecipes.com/recipe/221893/vodka-martini-cocktail/,Vodka Martini Cocktail,5 mins,"A vodka martini is a classic cocktail made with vodka and dry vermouth, served ice cold in a chilled martini glass, with green olives or a lemon twist.",Step1: Gather ingredients. Step2: Combine vodka and dry vermouth in a cocktail mixing glass. Fill with ice and stir until chilled. Step3: Strain into a chilled martini glass. Step4: Garnish with three olives on a toothpick.,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7845559.jpg&q=60&c=sc&orient=true&w=160&poi=auto&h=90,"3 fluid ounces vodka, 1 fluid ounce dry vermouth, 1 cup ice cubes, 3 small olives",5 mins,1,5 mins,2023-07-08T09:21:54Z
https://www.allrecipes.com/recipe/8465480/cantaloupe-frenzy/,Cantaloupe Frenzy,2 mins,A cantaloupe smoothie!! Perfect for those hot summer days or an after school snack to cool down with!,"Step1: Place cantaloupe cubes and ice into the container of a blender. Process until the ice is in small pieces. Add sugar, and puree. Pour into tall glasses and serve immediately.",https://www.allrecipes.com/thmb/gHgwkEaludU4UB7k36BCIIv2AKE=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(999x0:1001x2):format(webp)/Cantaloupe-Frenzy-France-C-1x1-1-2000-fce6d1b49a2d4a50b62f9516bf9062df.jpg,"1 cantaloupe - peeled, seeded and cubed, 3 tablespoons white sugar, or to taste, 2 cups ice cubes",7 mins,3,9 mins,2023-07-08T09:24:04Z
https://www.allrecipes.com/recipe/8542277/spiked-lemonade/,Spiked Lemonade,10 mins,Homemade lemonade spiked with coconut-flavored rum - the perfect tropical cooler on a hot day.,"Step1: Place sugar in warm water, stirring until sugar is completely dissolved. Add lemon juice, cold water, and coconut rum. Stir until completely incorporated. Step2: Fill 2 glasses with ice cubes and divide lemon juice mixture amongst both glasses.",https://www.allrecipes.com/thmb/gDCpciSSyOe5CrcreiZT7WIYEHE=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(749x0:751x2):format(webp)/8542274-Sarahs-Spiked-Raspberry-Lemonade-75a376e7f57d433a9cc829c64c621a40.jpg,"0.5 cup freshly squeezed lemon juice, 0.25 cup warm water, 0.25 cup white sugar, 0.5 cup cold water, 3 (1.5 fluid ounce) jiggers coconut-flavored rum, ice cubes, as needed",10 mins,2,10 mins,2023-07-08T09:24:25Z
https://www.allrecipes.com/recipe/20538/gluehwein/,Gluehwein,35 mins,"This glühwein recipe for hot spiced red wine is made with cinnamon, orange, and cloves for an easy, warming beverage that makes you feel cozy all over.","Step1: Gather all ingredients. Step2: Combine water, sugar, and cinnamon stick in a saucepan; bring to a boil. Reduce heat to low. Step3: Cut one orange in half; squeeze orange halves over the sugar mixture to release their juice. Push 5 cloves into the outside of each orange peel; place peels into the simmering mixture. Continue to simmer over the lowest heat until thick and syrupy, 20 to 30 minutes. Step4: While the mixture is simmering, slice remaining orange and set aside for serving. Step5: When the mixture is finished simmering, stir in wine and heat until steaming but not simmering, 3 to 5 minutes. Discard orange peels and cinnamon stick. Step6: Ladle into mugs and garnish with orange slices.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8889235.jpg&q=60&c=sc&orient=true&w=160&poi=auto&h=90,"0.75 cup water, 0.75 cup white sugar, 1 (3 inch) cinnamon stick, 2 medium oranges, divided, 10 whole cloves, 1 (750 milliliter) bottle red wine",5 mins,6,40 mins,2023-07-08T09:24:47Z
https://www.allrecipes.com/recipe/8461558/limoncello-moscow-mule/,Limoncello Moscow Mule,5 mins,Add an Italian twist to traditional Moscow Mule by adding limoncello liqueur.,"Step1: Fill a copper mule mug with ice. Add lime juice, limoncello, and vodka; stir to combine. Top with ginger beer. Lightly stir again and garnish with lemon slice.",https://www.allrecipes.com/thmb/hPaV6rOpYE2zuY5g2N1tbYcT8T8=/282x188/filters:no_upscale():max_bytes(150000):strip_icc():focal(665x0:667x2):format(webp)/kombucha-mule-1x1-1-dc5f86ffe3f3456999509d76470f93f5.jpg,"1 cup ice, 0.5 fluid ounce fresh lime juice, 1.5 fluid ounces limoncello liqueur, 1.5 fluid ounces vodka, 5 ounces ginger beer, 1 thin lemon slice (optional)",5 mins,1,5 mins,2023-07-08T09:24:56Z
https://www.allrecipes.com/recipe/40401/hot-toddy/,Hot Toddy,5 mins,"A hot toddy is a classic warm beverage made with whiskey and honey flavored with lemon, clove, cinnamon, and nutmeg for a cold weather pick-me-up.","Step1: Pour boiling water, whiskey, and honey into a mug. Add cloves, cinnamon, and lemon slice. Let mixture stand for 5 minutes so flavors can mingle, then sprinkle with a pinch of nutmeg before serving.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7398615.jpg,"2 fluid ounces boiling water, 1.5 fluid ounces whiskey, 1 teaspoon honey, 3 whole cloves, 1 cinnamon stick, 1 slice lemon, 1 pinch ground nutmeg",5 mins,1,10 mins,2023-07-08T09:25:05Z
https://www.allrecipes.com/recipe/264606/the-perfect-margarita/,The Perfect Margarita,10 mins,"This margarita recipe uses fresh limes, white tequila, and high-quality triple sec. With the right ratios, you can easily make the perfect margarita!","Step1: Gather all ingredients. Step2: Moisten the rim of a glass with a lime wedge. Sprinkle salt onto a plate. Lightly dip the moistened rim into the salt. Step3: Place a large ice cube in the glass and freeze the prepared glass until ready to serve. Step4: Fill a cocktail shaker with fresh ice. Add tequila, triple sec, and lime juice. Cover and shake vigorously until the outside of the shaker has frosted. Step5: Strain margarita into the chilled glass and garnish with a slice of lime.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fpublic-assets.meredithcorp.io%2F7b05be9bd7b94e37461543e3eb318757%2F1647732956margarita%25203.19.22.jpg&q=60&c=sc&orient=true&w=160&poi=auto&h=90,"1 wedge lime, 1 teaspoon coarse sea salt, or as needed, 1 large ice cube, 1 cup ice cubes, or as needed, 2 fluid ounces white tequila, 1.5 fluid ounces triple sec, 1 fluid ounce freshly squeezed lime juice, 1 slice lime",10 mins,1,10 mins,2023-07-08T09:25:18Z
https://www.allrecipes.com/recipe/27114/chocolate-cake-shot/,Chocolate Cake Shot,5 mins,A chocolate cake shot made with hazelnut liqueur and vodka that magically tastes like chocolate cake when shot down with a sugared wedge of lemon.,"Step1: Combine hazelnut liqueur and vodka in a shot glass. Step2: Coat a wedge of lemon with sugar. Step3: Suck lemon wedge, then with juice still in your mouth, drink shot.",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6736660.jpg,"1 fluid ounce hazelnut liqueur, 0.5 fluid ounce vodka, 1 lemon, cut into wedges, 1 teaspoon white sugar, or to taste",5 mins,1,5 mins,2023-07-08T09:25:28Z
